CatIndex	ProdIndex
000059	1505.012
000059	3011.001
000061	98810005
000061	98810011
000061	98810012
000135	59677002
000135	69687002
000163	24121053
000001	5101.206
000001	5101.200
000001	5101.207
000001	5101.205
000001	5101.201
000001	5101.204
000001	5101.209
000001	5101.202
000001	5101.203
000001	5101.208
000001	5101.196
000001	5101.190
000001	5101.197
000001	5101.195
000001	5101.191
000001	5101.199
000001	5101.192
000001	5101.198
000001	5101.186
000001	5101.180
000001	5101.187
000001	5101.185
000001	5101.181
000001	5101.184
000001	5101.189
000001	5101.182
000001	5101.183
000001	5101.188
000001	5101.176
000001	5101.170
000001	5101.177
000001	5101.175
000001	5101.171
000001	5101.174
000001	5101.179
000001	5101.172
000001	5101.173
000001	5101.178
000001	5101.160
000001	5101.165
000001	5101.161
000001	5101.164
000001	5101.169
000001	5101.162
000001	5101.163
000001	5101.168
000001	5101.159
000001	5101.158
000001	5101.157
000001	5101.155
000001	5101.154
000001	5101.153
000001	5101.156
000001	2013.017
000001	2013.014
000001	2013.015
000001	2013.012
000001	2013.010
000001	2013.013
000001	9140.001
000001	9140.003
000001	9140.002
000001	9140.000
000001	1565.049
000001	4405.044
000001	4405.043
000001	4405.045
000001	4405.039
000001	4405.042
000001	4405.040
000001	4405.046
000001	4405.031
000001	4405.030
000001	1561.196
000001	1561.195
000001	3515.011
000001	3515.010
000001	1664.006
000001	1664.005
000001	1664.007
000001	1664.016
000001	5007.001
000001	5501.000
000001	5501.002
000001	4005.149
000001	3505.059
000001	3505.057
000001	2619.000
000001	4015.016
000001	4015.014
000001	4334.030
000001	4334.034
000001	4334.039
000001	5101.026
000001	5101.020
000001	5101.027
000001	5101.025
000001	5101.024
000001	5101.029
000001	5101.022
000001	5101.023
000001	5101.028
000001	4191.099
000001	3023.042
000001	4095.020
000001	5525.018
000001	5525.017
000001	5525.019
000001	5525.015
000001	5525.014
000001	5525.016
000001	5415.021
000001	3505.065
000001	3505.066
000001	3505.060
000001	3505.062
000001	3505.061
000001	3505.067
000001	5414.008
000001	5414.007
000001	5005.137
000001	4098.209
000001	4098.205
000001	4098.204
000001	4098.203
000001	5005.149
000001	5005.148
000001	5005.145
000001	5005.144
000001	7005.044
000001	7005.043
000001	9990.200
000001	9990.401
000001	9990.301
000001	9990.300
000001	5115.043
000001	5425.059
000001	5425.054
000001	5425.053
000001	3023.029
000001	3023.022
000001	3023.021
000001	3023.020
000001	96687025
000001	4095.021
000001	5115.065
000001	2015.085
000001	1555.066
000001	1105.039
000001	1121.023
000001	5429.025
000001	5429.023
000001	1565.069
000001	5005.135
000001	9605.305
000001	4025.053
000001	4021.197
000001	5213.156
000001	5213.159
000001	5213.158
000001	5213.150
000001	3005.136
000001	3029.044
000001	3029.041
000001	3029.040
000001	5113.105
000001	5113.100
000001	5113.106
000001	5113.104
000001	5113.101
000001	5113.109
000001	5113.108
000001	5113.102
000001	5113.103
000001	5113.107
000001	5113.047
000001	5113.046
000001	5113.048
000001	5113.041
000001	5113.045
000001	5113.044
000001	5113.042
000001	5113.049
000001	5009.018
000001	1561.172
000001	1561.163
000001	5044.000
000001	3511.023
000001	3511.029
000001	3511.021
000001	3511.020
000001	3511.022
000001	5113.115
000001	5113.110
000001	5113.116
000001	5113.114
000001	5113.111
000001	5113.119
000001	5113.118
000001	5113.112
000001	5113.113
000001	5113.117
000001	5171.094
000001	5171.092
000001	5171.027
000001	5171.091
000001	4055.008
000001	3741.050
000001	3305.014
000001	5334.000
000001	5331.030
000001	5331.032
000001	5331.031
000001	5331.029
000001	5331.015
000001	5331.028
000001	5333.041
000001	5331.027
000001	5331.026
000001	5331.011
000001	5333.040
000001	5331.024
000001	5331.023
000001	5339.020
000001	5339.008
000001	5331.020
000001	5331.019
000001	5333.035
000001	5333.030
000001	5333.036
000001	5333.034
000001	5333.031
000001	5333.039
000001	5333.038
000001	5333.032
000001	5333.033
000001	5333.037
000001	5335.003
000001	5333.027
000001	5333.026
000001	5333.028
000001	5333.022
000001	5333.025
000001	5333.024
000001	5333.023
000001	5333.029
000001	5333.020
000001	5333.021
000001	5333.015
000001	5333.011
000001	5333.016
000001	5333.014
000001	5333.010
000001	5333.019
000001	5333.018
000001	5333.012
000001	5333.013
000001	5333.017
000001	5333.008
000001	5333.007
000001	5333.009
000001	5333.005
000001	5333.004
000001	5333.006
000001	5405.016
000001	5405.017
000001	5405.014
000001	5405.018
000001	5301.118
000001	5301.112
000001	5301.078
000001	5301.075
000001	5301.079
000001	5301.073
000001	5301.072
000001	5301.070
000001	5301.074
000001	5805.030
000001	3314.008
000001	3314.004
000001	1551.116
000001	1551.117
000001	3221.001
000001	3221.000
000001	5415.035
000001	5425.025
000001	5425.022
000001	4005.176
000001	5705.011
000001	5705.022
000001	5705.015
000001	5705.014
000001	5020.000
000001	5605.022
000001	5605.023
000001	1131.001
000001	1131.000
000001	90611001
000001	5005.049
000001	4410.001
000001	4410.004
000001	4410.002
000001	4029.008
000001	4029.007
000001	4029.009
000001	4029.005
000001	4029.003
000001	4029.006
000001	4015.006
000001	4015.003
000001	4015.002
000001	4015.004
000001	4015.000
000001	1105.032
000001	4029.036
000001	4029.038
000001	4029.031
000001	4029.030
000001	4029.032
000001	5425.016
000001	5425.017
000001	5605.044
000001	5605.048
000001	5009.027
000001	7440.000
000001	5905.022
000001	5905.025
000001	5905.024
000001	4405.014
000001	4405.016
000001	4405.015
000001	4405.013
000001	4405.004
000001	4405.000
000001	4405.003
000001	4405.029
000001	4405.027
000001	5805.026
000001	3521.033
000001	3521.037
000001	3521.034
000001	4021.050
000001	4021.057
000001	4021.041
000001	4021.043
000001	4021.040
000001	4021.038
000001	4021.035
000001	4021.039
000001	4021.033
000001	4021.031
000001	4021.030
000001	4021.034
000001	3515.009
000001	3515.006
000001	2113.003
000001	5805.029
000001	5025.011
000001	5025.012
000001	3029.000
000001	3095.005
000001	3095.004
000001	3095.009
000001	3095.008
000001	3095.002
000001	3095.003
000001	3095.007
000001	1681.104
000001	1691.014
000001	1683.031
000001	1681.097
000001	1684.012
000001	1681.099
000001	2338.000
000001	1681.114
000001	1683.016
000001	1683.018
000001	1681.095
000001	1683.020
000001	1682.014
000001	1863.225
000001	1863.224
000001	1863.223
000001	1863.226
000001	1863.221
000001	1863.220
000001	1863.222
000001	1863.230
000001	1863.229
000001	1863.228
000001	1863.233
000001	1863.232
000001	1863.231
000001	1863.227
000001	1861.125
000001	1861.124
000001	1861.123
000001	1861.126
000001	1861.121
000001	1861.120
000001	1861.122
000001	1861.130
000001	1861.129
000001	1861.128
000001	1861.133
000001	1861.132
000001	1861.131
000001	1861.127
000001	5134.041
000001	5134.004
000001	5134.026
000001	1562.027
000001	5101.237
000001	1561.106
000001	5113.081
000001	5113.080
000001	5113.084
000001	5113.085
000001	5113.082
000001	5113.088
000001	5113.087
000001	5113.083
000001	5113.089
000001	5113.086
000001	5111.118
000001	5111.119
000001	5111.113
000001	5111.112
000001	5111.161
000001	5111.160
000001	5111.164
000001	5111.165
000001	5111.162
000001	5111.168
000001	5111.167
000001	5111.163
000001	5111.169
000001	5111.166
000001	5111.155
000001	5111.159
000001	5111.153
000001	5111.150
000001	5111.154
000001	5111.130
000001	5111.131
000001	5111.134
000001	5111.135
000001	5111.139
000001	5111.132
000001	5111.133
000001	5111.136
000001	5111.129
000001	5111.128
000001	5111.120
000001	5111.126
000001	5111.125
000001	5111.127
000001	5113.071
000001	5113.070
000001	5113.074
000001	5113.075
000001	5113.072
000001	5113.077
000001	5113.073
000001	5113.079
000001	5113.076
000001	5113.061
000001	5113.062
000001	5113.065
000001	5113.066
000001	5113.069
000001	5113.068
000001	5113.063
000001	5113.064
000001	5113.067
000001	5113.031
000001	5113.030
000001	5113.034
000001	5113.035
000001	5113.032
000001	5113.038
000001	5113.037
000001	5113.033
000001	5113.039
000001	5113.036
000001	5113.021
000001	5113.020
000001	5113.024
000001	5113.025
000001	5113.022
000001	5113.028
000001	5113.027
000001	5113.023
