dugId;swId;Title
000114;403;"Tableaus für Kassetten, Boxen & Koffer"
000115;404;"Waagen & Prüfgeräte"
000116;405;"Lupen und Pinzetten"
000117;406;Münzreinigung
000212;407;"Hüllen für Alben"
000213;408;"Steckkarten für Briefmarken & Postkarten"
000238;409;"Briefmarken Alben"
000239;410;"Briefmarken Vordruckalben"
000240;411;"Briefmarken sonstiges Zubehör"
000398;411;"Briefmarken sonstiges Zubehör"
000221;187;Schmuck
000236;414;Literatur
000139;415;"Euro Münzensätze"
000140;416;"2 Euromünzen"
000141;417;"Euro Gedenkmünzen"
000142;267;Weltmünzensätze
000151;419;Besonderheiten
000160;420;"Alles unter 5 Euro"
000161;421;"Alles unter 20 Euro"
000162;317;Gemeinschaftsausgaben
