ordernumber;image;main
80500006;https://www.primus-muenzen.com/$WS/service-center/websale8_shop-service-center/produkte/medien/bilder/gross/80500006.jpg;1;
80500006;https://www.primus-muenzen.com/$WS/service-center/websale8_shop-service-center/produkte/medien/bilder/gross/80500006_1.jpg;2;
80510118;https://www.primus-muenzen.com/$WS/service-center/websale8_shop-service-center/produkte/medien/bilder/gross/80510118.jpg;1;
80510118;https://www.primus-muenzen.com/$WS/service-center/websale8_shop-service-center/produkte/medien/bilder/gross/80510118_2.jpg;3;
80510118;https://www.primus-muenzen.com/$WS/service-center/websale8_shop-service-center/produkte/medien/bilder/gross/80510118_3.jpg;4;
80540118;https://www.primus-muenzen.com/$WS/service-center/websale8_shop-service-center/produkte/medien/bilder/gross/80540118.jpg;1;
