ProdIndex	Name	Number	Unit	VPE	VATIndex	Price	AltPrices	BulkDiscount	BulkDiscountFactor	BulkDiscountPrices	Descr	TextInputFields	SearchItems	Weight	FreeDelivery	DiscountFactor	MinQuantity	MaxQuantity	DiscountId	Inventory	StoreId	OrderInfo	EventDiscount	Event	BonusDeny	BonusPoints	OrgPrice	UnitFactor	ValidUntil	ValidFrom	Upload	BestPrice	Download	InsertList	UserDiscountRate	BookDelivery	NoCampaignVoucher	NumSearchOnly	BonusProduct	BonusProductPrice	MaxPrice	AreaProduct	AreaProductRange	SoldOut	Abpreis	AbPreisTxt	GrundPreis	IS_UVP	AmpelStatus	StatusText	Altersnachweis	Export	ABMinOrderVal	CreationDate	Discontinued	DiscontinuedSubstitute	CrossLinks	ParentProdIndex	ChildProducts	Set	UseSetParentVAT	MiniThumbnail	Thumbnail	Image	LargeImage	Bild_mini_1	Bild_klein_1	Bild_mittel_1	Bild_gross_1	Bild_mini_2	Bild_klein_2	Bild_mittel_2	Bild_gross_2	Bild_mini_3	Bild_klein_3	Bild_mittel_3	Bild_gross_3	Bild_mini_4	Bild_klein_4	Bild_mittel_4	Bild_gross_4	DepVariations	DepVarFile	VariationsOverview	VariationsOverviewMatrix	InstantVoucherProduct	Abverkauf	Anlagedatum	AUS_RECH	BANAME1	BARCODE	BILD	BREITE	DeliveryCostGroup	EINZELPREIS	Erscheinungstermin	Farbe	FARBGRP	Größe	Gutschein_Artikel	HOEHE	IS_ZUSATZ0	IS_ZUSATZ1	IS_ZUSATZ10	IS_ZUSATZ11	IS_ZUSATZ12	IS_ZUSATZ13	IS_ZUSATZ14	IS_ZUSATZ15	IS_ZUSATZ16	IS_ZUSATZ17	IS_ZUSATZ18	IS_ZUSATZ19	IS_ZUSATZ2	IS_ZUSATZ3	IS_ZUSATZ4	IS_ZUSATZ5	IS_ZUSATZ51	IS_ZUSATZ52	IS_ZUSATZ53	IS_ZUSATZ54	IS_ZUSATZ55	IS_ZUSATZ56	IS_ZUSATZ57	IS_ZUSATZ58	IS_ZUSATZ59	IS_ZUSATZ6	IS_ZUSATZ60	IS_ZUSATZ61	IS_ZUSATZ62	IS_ZUSATZ63	IS_ZUSATZ64	IS_ZUSATZ65	IS_ZUSATZ66	IS_ZUSATZ67	IS_ZUSATZ7	IS_ZUSATZ8	IS_ZUSATZ9	MetaDaten	RABATTSATZ	SEITEN_NR1	TextKz	TIEFE	VAR_TEXT	VK_MENGE	VOLUME	VS_DIENST
40163037	Luxemburg 2 Euro 2018 150. Jahrestag Verfassung	40163037	Stück	0	1	4.490000					<H2>Luxemburg 2 Euro 2018 - 150. Jahrestag Verfassung</H2> <H2>&nbsp;</H2> <UL> <LI><STRONG>Nur 300.000 Münzen wurden für den Umlauf ausgegeben!</STRONG></LI> <LI><STRONG>Wir liefern die lose Variante in bankfrischer Sammlerqualität!</STRONG></LI></UL> <P>Die 2 Euro Gedenkmünze Luxemburg von 2018 <STRONG>in bankfrischer Sammlerqualität</STRONG> widmet sich dem 150. Jahrestag der Luxemburg Verfassung welche die zentral geltende, rechtliche und politische Grundordnung des Großherzogtums darstellt. Luxemburgs heutige Verfassung geht auf die erste konstitutionelle Annahme am 17. Oktober 1868 zurück. Seitdem wurde die Verfassung mehrfach geändert. </P> <P>Das Motiv zeigt links oben das Portrait von Großherzog Henri im Profil nach rechts blickend. Zu seinen Rechten in zwei durch einen Bindestrich getrennte horizontale Linien, das Jahr des Gedenkens "1868" und "2018", gefolgt von der Gedenk-Legende "150 ANS CONSTITUTION DU GRANDE-DUCHÉ DE LUXEMBOURG". Oberhalb von LUXEMBOURG der Gedenk-Legende ist das offene Buch der Verfassung auf einem Sockel dargestellt. </P> <H3>Diese 2-Euro-Münze aus Luxemburg ist eine wunderbare Ergänzung Ihrer Münzsammlung! </H3>			9		0				<1>y</1><11>0</11><12>0</12><13>y</13><21>Lieferzeit ca. 2-5 Werktage</21><22>Lieferzeit ca. 2-5 Werktage <!--Nur noch wenige Stück auf Lager--></22><23>Lieferzeit ca. 1-2 Wochen</23>	01-40163037	<artikelnummer>40163037</artikelnummer><var_id>40163037</var_id><originalvs4nummer>WW40163037      </originalvs4nummer><vpe>0</vpe>	0					1						SY,KA,GR,ON,PA,F1,RA,F2,FA,FB,FC,IA,FD,IB,FE,KB,AA,T1,ET,FF,GH,BB,PR,FG,RB,90,RC,BR,NN,NR,E1,P1,FH,AN,01,FI,FJ,RD,RE,RF,E2,E3,RH,F2,RG,RI,AB,AC,BA,FK,KC,AD,BC,FL,P2,P3,FM,RJ,RK,FN,RL,RM,FO,FP,RN,FQ,FR,RO,P4,P5,FS,FT,FU,FY,RP,P6,P7,P8,P9,FZ,PA,PB,PC,PD,FX,RQ,RR,GA,GB,GC,GD,BD,RS,KD,C1,C2,FU,CA,RT,BE,GS,DE,CB,RU,RV,GE,BL,CD,RX,GQ,CH,BF,RZ,SA,SB,SC,SD,GT,AE,T2,BG,F8,HA,H8,L6,Z2,Z3,Z5,BS,Z6,W5,99,63,G1,03,Z7,Z8,Z9,ZA,V1,64,ZB,ZC,65,ZD,H1,NA,66,Z1,Y1,67,Y2,K3,ZE,04,K4,68,V2,69,F7,AQ,T5,MA,C3,AZ,70,A1,G0,HK,ZF,H2,G3,ZG,CC,C4,71,Z0,72,ZH,H3,ZI,GI,Y3,Y4,Y5,AY,G2,K2,73,DC,AX,95,MO,74,AF,AG,ZK,05,K5,75,C5,H4,02,AS,B1,ZL,MW,76,Y6,77,Y7,K7,78,V3,Y8,1A,NB,X3,79,Y9,AW,B2,AR,YA,B3,YB,AH,80,B4,AK,A7,81,81,AL,PE,SE,TA,TB,82,TC,BH,SF,CE,ZZ,NC,TP,KE,TD,WW,83,BH,AM,AI,KF,CF,PF,KG,FI,FV,GF,KH,BM,GG,HJ,PO,BJ,CG,SG,H5,AO,BK,FW,HB,HL,BI,GU,HC,GV,KJ,HM,G4,1B,BN,GJ,GK,HN,GW,A8,GM,GN,CI,GL,HO,1C,GO,SH,GP,PH,PJ,GX,GY,H6,HP,GZ,CK,1D,1E,ND,G5,ZX,PK,PL,AJ,HD,HE,HF,RY,SJ,SK,G7,PM,PN,PP,55,HG,HH,HR,PS,PT,SZ,AP,IC,ID,IE,A2,BT,A3,G8,CJ,IF,KL,PU,CK,P0,RW,PQ,HQ,1F,1G,IG,IH,IJ,00,IK,IL,IM,IN,IO,IP,91,XX,IQ,IR,SI,IS,HS,BO,SX,HT,HU,BX,IT,AV,DF,HV,VA,HW,PV,PX,IV,BP,HX,UI,TV,VB,A4,IU,HZ,MB,DA,YY,MC,SL,CL,CM,CN,PZ,KM,QA,CO,VC,QE,BQ,CP,QB,BU,BV,QC,19,VD,TE,VE,CQ,VF,BW,BY,BZ,QG,CR,QH,PW,QD,CS,VG,AT,DA,TF,TS,QE,CT,AU,CU,DG,DD,HY,VH,YC,A5,A6,ZM,TG,AU,A8,A9,TT,ZN,VJ,VK,DH,DB,ZJ,1H,T3,UA,KN,TU,ZP,D1,92,DI,DJ,QW,EE,M1,M2,SM,CU,R1,S,SN,KO,E7,E8,TW,SO,SP,KP,IW,QQ,B5,B6,QQ,QI,QJ,QK,QL,XA,QR,IZ,DP,VL,QM,QN,QO,QP,NE,YD,C6,C7,ED,EB,EC,KQ,TH,TJ,TK,TI,QS,QT,QU,QV,QX,DK,QY,EU,CX,DL,DM,TL,QZ,DV,DX,TM,QF,DT,DN,VM,DX,TX,TN,IX,TQ,XÖ,KS,SO,PY,XC,VN,VP,TR,TY,SQ,XY,TZ,ÜÜ,CV,ST,KR,DY,XD,SR,T4,TO,TD,CW,MD,ÖÖ,TP,XE,JA,KS,KT,DZ,B7,EA,VQ,EG,UB,EF,EH,EJ,EQ,OA,XF,XG,ME,UC,UD,UE,UF,MF,XH,06,K6,DO,EK,DS,DQ,EL,EM,VR,XM,MG,MH,VS,XN,MJ,50,MI,B8,UG,WP,XK,VT,MK,XL,MR,UH,VU,ML,VV,EN,UJ,MN,UK,UL,UM,MS,MT,B9,D2,D3,D4,D5,LA,VX,D6,MU,MM,MP,UN,UZ,MQ,MV,XZ,UY,UO,UX,NZ,07,UW,MY,MX,DR,MZ,NX,UP,WE,0A,0B,0D,Z4,0C,WF,WG,XB,W3,W2,NF,NG,NJ,C9,WT,KK,T7,93,JB,94,ER,ES,EV,JC,EW,JD,LB,EX,JE,JF,JG,JH,JK,NH,JL,OB,LD,LE,JM,NK,NL,YL,YM,NP,NQ,XP,XQ,JN,EP,NT,NM,DU,LF,JZ,XV,LG,JP,NV,NW,LH,JR,T6,LK,LY,OZ,LL,JX,YE,UQ,JQ,JU,LM,YF,YG,YH,11	0.00								<maxwidth>0</maxwidth><maxlen>0</maxlen><minwidth>0</minwidth><minlen>0</minlen>						leer			y		1513555200	n							40163037.jpg	40163037.jpg	40163037.jpg	40163037.jpg	40163037_1.jpg	40163037_1.jpg	40163037_1.jpg	40163037_1.jpg																	<g><1>n</1><2></2><3>y</3><4>n</4></g>	266	2017-12-18		Luxemburg 2 Euro 2018 150. Jahrestag Verfassung	40163037	1	4		0,00						6	Luxemburg	2 Euro											2018	bankfrisch																					300.000				0	3000	00031709	0,2		1	5	DHL
80500006	Aluminium Münzkoffer	80500006	Stück	0	1	6.950000					<H2>Hochwertiger Alu-Koffer zum Tiefstpreis</H2> <P>Nichts ist für uns Sammler schlimmer, als dass unsere Lieblingstücke mit der Zeit verunreinigt werden und damit an Wert verlieren. Äußere Einflüsse können dies sehr leicht verschulden. Unsere Schätze gilt es daher zu schützen! Optimale Schutz für unsere Schätze bietet dieser hochwertige Aluminium-Münzkoffer mit Platz für bis zu 120 Münzen.</P> <P>&nbsp;</P> <UL> <LI>Praktisches Format mit verstärkten Ecken!</LI> <LI>Mit handlichem Griff!</LI> <LI>Hochwertig verarbeitet mit Qualitäts-Scharnieren!</LI> <LI>Raum für bis zu 120 Münzen!</LI> <LI>Nur 1x pro Haushalt erhältlich!</LI></UL> <H3>&nbsp;</H3> <H3>Jetzt schnell sichern!</H3>			800		0		1		<1>y</1><11>0</11><12>0</12><13>y</13><21>Lieferzeit ca. 2-5 Werktage</21><22>Lieferzeit ca. 2-5 Werktage <!--Nur noch wenige Stück auf Lager--></22><23>Lieferzeit ca. 1-2 Wochen</23>	01-80500006	<artikelnummer>80500006</artikelnummer><var_id>80500006</var_id><originalvs4nummer>WW80500006      </originalvs4nummer><vpe>0</vpe>	0					1						SY,KA,GR,ON,PA,F1,RA,F2,FA,FB,FC,IA,FD,IB,FE,KB,AA,T1,ET,FF,GH,BB,PR,FG,RB,90,RC,BR,NN,NR,E1,P1,FH,AN,01,FI,FJ,RD,RE,RF,E2,E3,RH,F2,RG,RI,AB,AC,BA,FK,KC,AD,BC,FL,P2,P3,FM,RJ,RK,FN,RL,RM,FO,FP,RN,FQ,FR,RO,P4,P5,FS,FT,FU,FY,RP,P6,P7,P8,P9,FZ,PA,PB,PC,PD,FX,RQ,RR,GA,GB,GC,GD,BD,RS,KD,C1,C2,FU,CA,RT,BE,GS,DE,CB,RU,RV,GE,BL,CD,RX,GQ,CH,BF,RZ,SA,SB,SC,SD,GT,AE,T2,BG,F8,HA,H8,L6,Z2,Z3,Z5,BS,Z6,W5,99,63,G1,03,Z7,Z8,Z9,ZA,V1,64,ZB,ZC,65,ZD,H1,NA,66,Z1,Y1,67,Y2,K3,ZE,04,K4,68,V2,69,F7,AQ,T5,MA,C3,AZ,70,A1,G0,HK,ZF,H2,G3,ZG,CC,C4,71,Z0,72,ZH,H3,ZI,GI,Y3,Y4,Y5,AY,G2,K2,73,DC,AX,95,MO,74,AF,AG,ZK,05,K5,75,C5,H4,02,AS,B1,ZL,MW,76,Y6,77,Y7,K7,78,V3,Y8,1A,NB,X3,79,Y9,AW,B2,AR,YA,B3,YB,AH,80,B4,AK,A7,81,81,AL,PE,SE,TA,TB,82,TC,BH,SF,CE,ZZ,NC,TP,KE,TD,WW,83,BH,AM,AI,KF,CF,PF,KG,FI,FV,GF,KH,BM,GG,HJ,PO,BJ,CG,SG,H5,AO,BK,FW,HB,HL,BI,GU,HC,GV,KJ,HM,G4,1B,BN,GJ,GK,HN,GW,A8,GM,GN,CI,GL,HO,1C,GO,SH,GP,PH,PJ,GX,GY,H6,HP,GZ,CK,1D,1E,ND,G5,ZX,PK,PL,AJ,HD,HE,HF,RY,SJ,SK,G7,PM,PN,PP,55,HG,HH,HR,PS,PT,SZ,AP,IC,ID,IE,A2,BT,A3,G8,CJ,IF,KL,PU,CK,P0,RW,PQ,HQ,1F,1G,IG,IH,IJ,00,IK,IL,IM,IN,IO,IP,91,XX,IQ,IR,SI,IS,HS,BO,SX,HT,HU,BX,IT,AV,DF,HV,VA,HW,PV,PX,IV,BP,HX,UI,TV,VB,A4,IU,HZ,MB,DA,YY,MC,SL,CL,CM,CN,PZ,KM,QA,CO,VC,QE,BQ,CP,QB,BU,BV,QC,19,VD,TE,VE,CQ,VF,BW,BY,BZ,QG,CR,QH,PW,QD,CS,VG,AT,DA,TF,TS,QE,CT,AU,CU,DG,DD,HY,VH,YC,A5,A6,ZM,TG,AU,A8,A9,TT,ZN,VJ,VK,DH,DB,ZJ,1H,T3,UA,KN,TU,ZP,D1,92,DI,DJ,QW,EE,M1,M2,SM,CU,R1,S,SN,KO,E7,E8,TW,SO,SP,KP,IW,QQ,B5,B6,QQ,QI,QJ,QK,QL,XA,QR,IZ,DP,VL,QM,QN,QO,QP,NE,YD,C6,C7,ED,EB,EC,KQ,TH,TJ,TK,TI,QS,QT,QU,QV,QX,DK,QY,EU,CX,DL,DM,TL,QZ,DV,DX,TM,QF,DT,DN,VM,DX,TX,TN,IX,TQ,XÖ,KS,SO,PY,XC,VN,VP,TR,TY,SQ,XY,TZ,ÜÜ,CV,ST,KR,DY,XD,SR,T4,TO,TD,CW,MD,ÖÖ,TP,XE,JA,KS,KT,DZ,B7,EA,VQ,EG,UB,EF,EH,EJ,EQ,OA,XF,XG,ME,UC,UD,UE,UF,MF,XH,06,K6,DO,EK,DS,DQ,EL,EM,VR,XM,MG,MH,VS,XN,MJ,50,MI,B8,UG,WP,XK,VT,MK,XL,MR,UH,VU,ML,VV,EN,UJ,MN,UK,UL,UM,MS,MT,B9,D2,D3,D4,D5,LA,VX,D6,MU,MM,MP,UN,UZ,MQ,MV,XZ,UY,UO,UX,NZ,07,UW,MY,MX,DR,MZ,NX,UP,WE,0A,0B,0D,Z4,0C,WF,WG,XB,W3,W2,NF,NG,NJ,C9,WT,KK,T7,93,JB,94,ER,ES,EV,JC,EW,JD,LB,EX,JE,JF,JG,JH,JK,NH,JL,OB,LD,LE,JM,NK,NL,YL,YM,NP,NQ,XP,XQ,JN,EP,NT,NM,DU,LF,JZ,XV,LG,JP,NV,NW,LH,JR,T6,LK,LY,OZ,LL,JX,YE,UQ,JQ,JU,LM,YF,YG,YH,11	0.00								<maxwidth>0</maxwidth><maxlen>0</maxlen><minwidth>0</minwidth><minlen>0</minlen>						leer			y		1513555200	n							80500006.jpg	80500006.jpg	80500006.jpg	80500006.jpg	80500006_1.jpg	80500006_1.jpg	80500006_1.jpg	80500006_1.jpg																	<g><1>n</1><2></2><3>y</3><4>n</4></g>	2031	2017-12-18		Aluminium Münzkoffer	80500006	1	30		0,00						72																										220x295x85mm										inkl. 1 Tableau			0	3000	00020080	10		1	21600	DHL
80510118	Monaco Spar-Set 2017 - 2 Euro Münze + Etui	80510118	Stück	0	1	5.000000					<H2>Spar-Set Monaco 2017</H2> <P>Bringen Sie Ordnung in Ihre Münzsammlung. In das hochwertige Etui passen vier 2 Euro Münzen. Das Etui hat die Maße 16,5cm x 8,5cm x 2,5cm. Nutzen Sie jetzt die Gelegenheit und sichern Sie sich dieses Spar-Set zum Top-Preis.<BR><BR>Das Set besteht aus:<BR></P> <UL> <LI><STRONG>Rotes Etui für 4x 2 Euro Münzen!</STRONG></LI> <LI><STRONG>2 Euro Monaco Albert I. 2017 bankfrisch!</STRONG></LI></UL> <H3>&nbsp;</H3> <H3>Ein Muss für jeden Sammler!</H3>			0		0				<1>y</1><11>0</11><12>5</12><13>y</13><21>Lieferzeit ca. 2-5 Werktage</21><22>Lieferzeit ca. 2-5 Werktage <!--Nur noch wenige Stück auf Lager--></22><23>Lieferzeit ca. 1-2 Wochen</23>	01-80510118	<artikelnummer>80510118</artikelnummer><var_id>80510118</var_id><originalvs4nummer>WW80510118      </originalvs4nummer><vpe>0</vpe>	0				24.900000	1						SY,KA,GR,ON,PA,F1,RA,F2,FA,FB,FC,IA,FD,IB,FE,KB,AA,T1,ET,FF,GH,BB,PR,FG,RB,90,RC,BR,NN,NR,E1,P1,FH,AN,01,FI,FJ,RD,RE,RF,E2,E3,RH,F2,RG,RI,AB,AC,BA,FK,KC,AD,BC,FL,P2,P3,FM,RJ,RK,FN,RL,RM,FO,FP,RN,FQ,FR,RO,P4,P5,FS,FT,FU,FY,RP,P6,P7,P8,P9,FZ,PA,PB,PC,PD,FX,RQ,RR,GA,GB,GC,GD,BD,RS,KD,C1,C2,FU,CA,RT,BE,GS,DE,CB,RU,RV,GE,BL,CD,RX,GQ,CH,BF,RZ,SA,SB,SC,SD,GT,AE,T2,BG,F8,HA,H8,L6,Z2,Z3,Z5,BS,Z6,W5,99,63,G1,03,Z7,Z8,Z9,ZA,V1,64,ZB,ZC,65,ZD,H1,NA,66,Z1,Y1,67,Y2,K3,ZE,04,K4,68,V2,69,F7,AQ,T5,MA,C3,AZ,70,A1,G0,HK,ZF,H2,G3,ZG,CC,C4,71,Z0,72,ZH,H3,ZI,GI,Y3,Y4,Y5,AY,G2,K2,73,DC,AX,95,MO,74,AF,AG,ZK,05,K5,75,C5,H4,02,AS,B1,ZL,MW,76,Y6,77,Y7,K7,78,V3,Y8,1A,NB,X3,79,Y9,AW,B2,AR,YA,B3,YB,AH,80,B4,AK,A7,81,81,AL,PE,SE,TA,TB,82,TC,BH,SF,CE,ZZ,NC,TP,KE,TD,WW,83,BH,AM,AI,KF,CF,PF,KG,FI,FV,GF,KH,BM,GG,HJ,PO,BJ,CG,SG,H5,AO,BK,FW,HB,HL,BI,GU,HC,GV,KJ,HM,G4,1B,BN,GJ,GK,HN,GW,A8,GM,GN,CI,GL,HO,1C,GO,SH,GP,PH,PJ,GX,GY,H6,HP,GZ,CK,1D,1E,ND,G5,ZX,PK,PL,AJ,HD,HE,HF,RY,SJ,SK,G7,PM,PN,PP,55,HG,HH,HR,PS,PT,SZ,AP,IC,ID,IE,A2,BT,A3,G8,CJ,IF,KL,PU,CK,P0,RW,PQ,HQ,1F,1G,IG,IH,IJ,00,IK,IL,IM,IN,IO,IP,91,XX,IQ,IR,SI,IS,HS,BO,SX,HT,HU,BX,IT,AV,DF,HV,VA,HW,PV,PX,IV,BP,HX,UI,TV,VB,A4,IU,HZ,MB,DA,YY,MC,SL,CL,CM,CN,PZ,KM,QA,CO,VC,QE,BQ,CP,QB,BU,BV,QC,19,VD,TE,VE,CQ,VF,BW,BY,BZ,QG,CR,QH,PW,QD,CS,VG,AT,DA,TF,TS,QE,CT,AU,CU,DG,DD,HY,VH,YC,A5,A6,ZM,TG,AU,A8,A9,TT,ZN,VJ,VK,DH,DB,ZJ,1H,T3,UA,KN,TU,ZP,D1,92,DI,DJ,QW,EE,M1,M2,SM,CU,R1,S,SN,KO,E7,E8,TW,SO,SP,KP,IW,QQ,B5,B6,QQ,QI,QJ,QK,QL,XA,QR,IZ,DP,VL,QM,QN,QO,QP,NE,YD,C6,C7,ED,EB,EC,KQ,TH,TJ,TK,TI,QS,QT,QU,QV,QX,DK,QY,EU,CX,DL,DM,TL,QZ,DV,DX,TM,QF,DT,DN,VM,DX,TX,TN,IX,TQ,XÖ,KS,SO,PY,XC,VN,VP,TR,TY,SQ,XY,TZ,ÜÜ,CV,ST,KR,DY,XD,SR,T4,TO,TD,CW,MD,ÖÖ,TP,XE,JA,KS,KT,DZ,B7,EA,VQ,EG,UB,EF,EH,EJ,EQ,OA,XF,XG,ME,UC,UD,UE,UF,MF,XH,06,K6,DO,EK,DS,DQ,EL,EM,VR,XM,MG,MH,VS,XN,MJ,50,MI,B8,UG,WP,XK,VT,MK,XL,MR,UH,VU,ML,VV,EN,UJ,MN,UK,UL,UM,MS,MT,B9,D2,D3,D4,D5,LA,VX,D6,MU,MM,MP,UN,UZ,MQ,MV,XZ,UY,UO,UX,NZ,07,UW,MY,MX,DR,MZ,NX,UP,WE,0A,0B,0D,Z4,0C,WF,WG,XB,W3,W2,NF,NG,NJ,C9,WT,KK,T7,93,JB,94,ER,ES,EV,JC,EW,JD,LB,EX,JE,JF,JG,JH,JK,NH,JL,OB,LD,LE,JM,NK,NL,YL,YM,NP,NQ,XP,XQ,JN,EP,NT,NM,DU,LF,JZ,XV,LG,JP,NV,NW,LH,JR,T6,LK,LY,OZ,LL,JX,YE,UQ,JQ,JU,LM,YF,YG,YH,11	0.00								<maxwidth>0</maxwidth><maxlen>0</maxlen><minwidth>0</minwidth><minlen>0</minlen>						leer			y		1464307200	n							80510118.jpg	80510118.jpg	80510118.jpg	80510118.jpg					80510118_2.jpg	80510118_2.jpg	80510118_2.jpg	80510118_2.jpg	80510118_3.jpg	80510118_3.jpg	80510118_3.jpg	80510118_3.jpg									<g><1>n</1><2></2><3>y</3><4>n</4></g>	56	2016-05-27		Monaco Spar-Set 2017 - 2 Euro Münze + Etui	80510118	1	0		0,00						0	Monaco	2 Euro											2017	bankfrisch, lose																						plus Etui für 4x 2 Euro			0		00021385	0		1	0	DHL
80540118	200 Kapseln für 2 Euro Münzen	80540118	Stück	0	1	29.000000					<H2>Gut und günstig geschützt: 200 Kapseln für 2 Euro Münzen!</H2> <P></P> <P>Jede Kapsel aus kratzfestem, glasklarem Polystyrol, leicht zu öffnen durch überstehenden Rand, verbesserte Münzansicht durch nach außen gewölbten Deckel!</P> <h3>Jetzt zugreifen!</h3> <P><STRONG>Hinweis:</STRONG> Beispielabbildung</P><I>Kapseln werden ohne Münzen geliefert.</I>			520		0				<1>y</1><11>0</11><12>200</12><13>y</13><21>Lieferzeit ca. 2-5 Werktage</21><22>Lieferzeit ca. 2-5 Werktage <!--Nur noch wenige Stück auf Lager--></22><23>Lieferzeit ca. 1-2 Wochen</23>	01-80540118	<artikelnummer>80540118</artikelnummer><var_id>80540118</var_id><originalvs4nummer>WW80540118      </originalvs4nummer><vpe>0</vpe>	0					1						SY,KA,GR,ON,PA,F1,RA,F2,FA,FB,FC,IA,FD,IB,FE,KB,AA,T1,ET,FF,GH,BB,PR,FG,RB,90,RC,BR,NN,NR,E1,P1,FH,AN,01,FI,FJ,RD,RE,RF,E2,E3,RH,F2,RG,RI,AB,AC,BA,FK,KC,AD,BC,FL,P2,P3,FM,RJ,RK,FN,RL,RM,FO,FP,RN,FQ,FR,RO,P4,P5,FS,FT,FU,FY,RP,P6,P7,P8,P9,FZ,PA,PB,PC,PD,FX,RQ,RR,GA,GB,GC,GD,BD,RS,KD,C1,C2,FU,CA,RT,BE,GS,DE,CB,RU,RV,GE,BL,CD,RX,GQ,CH,BF,RZ,SA,SB,SC,SD,GT,AE,T2,BG,F8,HA,H8,L6,Z2,Z3,Z5,BS,Z6,W5,99,63,G1,03,Z7,Z8,Z9,ZA,V1,64,ZB,ZC,65,ZD,H1,NA,66,Z1,Y1,67,Y2,K3,ZE,04,K4,68,V2,69,F7,AQ,T5,MA,C3,AZ,70,A1,G0,HK,ZF,H2,G3,ZG,CC,C4,71,Z0,72,ZH,H3,ZI,GI,Y3,Y4,Y5,AY,G2,K2,73,DC,AX,95,MO,74,AF,AG,ZK,05,K5,75,C5,H4,02,AS,B1,ZL,MW,76,Y6,77,Y7,K7,78,V3,Y8,1A,NB,X3,79,Y9,AW,B2,AR,YA,B3,YB,AH,80,B4,AK,A7,81,81,AL,PE,SE,TA,TB,82,TC,BH,SF,CE,ZZ,NC,TP,KE,TD,WW,83,BH,AM,AI,KF,CF,PF,KG,FI,FV,GF,KH,BM,GG,HJ,PO,BJ,CG,SG,H5,AO,BK,FW,HB,HL,BI,GU,HC,GV,KJ,HM,G4,1B,BN,GJ,GK,HN,GW,A8,GM,GN,CI,GL,HO,1C,GO,SH,GP,PH,PJ,GX,GY,H6,HP,GZ,CK,1D,1E,ND,G5,ZX,PK,PL,AJ,HD,HE,HF,RY,SJ,SK,G7,PM,PN,PP,55,HG,HH,HR,PS,PT,SZ,AP,IC,ID,IE,A2,BT,A3,G8,CJ,IF,KL,PU,CK,P0,RW,PQ,HQ,1F,1G,IG,IH,IJ,00,IK,IL,IM,IN,IO,IP,91,XX,IQ,IR,SI,IS,HS,BO,SX,HT,HU,BX,IT,AV,DF,HV,VA,HW,PV,PX,IV,BP,HX,UI,TV,VB,A4,IU,HZ,MB,DA,YY,MC,SL,CL,CM,CN,PZ,KM,QA,CO,VC,QE,BQ,CP,QB,BU,BV,QC,19,VD,TE,VE,CQ,VF,BW,BY,BZ,QG,CR,QH,PW,QD,CS,VG,AT,DA,TF,TS,QE,CT,AU,CU,DG,DD,HY,VH,YC,A5,A6,ZM,TG,AU,A8,A9,TT,ZN,VJ,VK,DH,DB,ZJ,1H,T3,UA,KN,TU,ZP,D1,92,DI,DJ,QW,EE,M1,M2,SM,CU,R1,S,SN,KO,E7,E8,TW,SO,SP,KP,IW,QQ,B5,B6,QQ,QI,QJ,QK,QL,XA,QR,IZ,DP,VL,QM,QN,QO,QP,NE,YD,C6,C7,ED,EB,EC,KQ,TH,TJ,TK,TI,QS,QT,QU,QV,QX,DK,QY,EU,CX,DL,DM,TL,QZ,DV,DX,TM,QF,DT,DN,VM,DX,TX,TN,IX,TQ,XÖ,KS,SO,PY,XC,VN,VP,TR,TY,SQ,XY,TZ,ÜÜ,CV,ST,KR,DY,XD,SR,T4,TO,TD,CW,MD,ÖÖ,TP,XE,JA,KS,KT,DZ,B7,EA,VQ,EG,UB,EF,EH,EJ,EQ,OA,XF,XG,ME,UC,UD,UE,UF,MF,XH,06,K6,DO,EK,DS,DQ,EL,EM,VR,XM,MG,MH,VS,XN,MJ,50,MI,B8,UG,WP,XK,VT,MK,XL,MR,UH,VU,ML,VV,EN,UJ,MN,UK,UL,UM,MS,MT,B9,D2,D3,D4,D5,LA,VX,D6,MU,MM,MP,UN,UZ,MQ,MV,XZ,UY,UO,UX,NZ,07,UW,MY,MX,DR,MZ,NX,UP,WE,0A,0B,0D,Z4,0C,WF,WG,XB,W3,W2,NF,NG,NJ,C9,WT,KK,T7,93,JB,94,ER,ES,EV,JC,EW,JD,LB,EX,JE,JF,JG,JH,JK,NH,JL,OB,LD,LE,JM,NK,NL,YL,YM,NP,NQ,XP,XQ,JN,EP,NT,NM,DU,LF,JZ,XV,LG,JP,NV,NW,LH,JR,T6,LK,LY,OZ,LL,JX,YE,UQ,JQ,JU,LM,YF,YG,YH,11	0.00								<maxwidth>0</maxwidth><maxlen>0</maxlen><minwidth>0</minwidth><minlen>0</minlen>						leer			y		1384732800	n							80540118.jpg	80540118.jpg	80540118.jpg	80540118.jpg																					<g><1>n</1><2></2><3>y</3><4>n</4></g>	343	2013-11-18		200 Kapseln für 2 Euro Münzen	80540118	1	0		0,00						0															Polystyrol	200 Kapseln																							0	0020	00022275	0		1	0	DHL
