ordernumber;image;main
24181088;https://www.primus-muenzen.com/$WS/service-center/websale8_shop-service-center/produkte/medien/bilder/gross/24181088_2.jpg;3;
31181012;https://www.primus-muenzen.com/$WS/service-center/websale8_shop-service-center/produkte/medien/bilder/gross/31181012_2.jpg;3;
40173018;https://www.primus-muenzen.com/$WS/service-center/websale8_shop-service-center/produkte/medien/bilder/gross/40173018_1.jpg;2;
45181008;https://www.primus-muenzen.com/$WS/service-center/websale8_shop-service-center/produkte/medien/bilder/gross/45181008_2.jpg;3;
55173019;https://www.primus-muenzen.com/$WS/service-center/websale8_shop-service-center/produkte/medien/bilder/gross/55173019_1.jpg;2;
65181017;https://www.primus-muenzen.com/$WS/service-center/websale8_shop-service-center/produkte/medien/bilder/gross/65181017_1.jpg;2;
