ordernumber;image;main;description;position;width;height;relations
24311086;http://testshop2.muenzpreisvergleich.de/media/image/ea/24/9e/BRD-5-Euro-2017-Tropische-Zone-mit-Schwarz-Rhodium-und-999er-Goldapplikation-Praegestaette-unserer-Wahl-_-24311086[1].jpg;1;;1;0;0;
24311086;http://testshop2.muenzpreisvergleich.de/media/image/10/95/d3/24311086_1[1].jpg;2;;2;0;0;
3365.000;http://testshop2.muenzpreisvergleich.de/media/image/64/ac/cc/g3365000APMGDVD1sUBWl.jpg;1;;1;0;0;
24321001;http://testshop2.muenzpreisvergleich.de/media/image/9b/49/2c/24321001.jpg;1;;1;0;0;
24321001;http://testshop2.muenzpreisvergleich.de/media/image/09/ab/e7/24321001_1.jpg;2;;2;0;0;
65161036;http://testshop2.muenzpreisvergleich.de/media/image/06/6d/af/65161036.jpg;1;;1;0;0;
65161036;http://testshop2.muenzpreisvergleich.de/media/image/c7/19/b2/65161036_1.jpg;2;;2;0;0;
65161036;http://testshop2.muenzpreisvergleich.de/media/image/cb/aa/4d/65161036_2.jpg;2;;3;0;0;
